# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    7.882882883    0.000835382    0.000943350    0.000924203
    7.897897898    0.000777800    0.000864883    0.000961833
    7.912912913    0.000735076    0.000804949    0.001003014
    7.927927928    0.000704224    0.000759546    0.001048278
    7.942942943    0.000683212    0.000725903    0.001098266
    7.957957958    0.000670704    0.000702117    0.001153761
    7.972972973    0.000665885    0.000686929    0.001215720
    7.987987988    0.000668367    0.000679577    0.001285333
    8.003003003    0.000678140    0.000679718    0.001364086
    8.018018018    0.000695565    0.000687393    0.001453858
    8.033033033    0.000721401    0.000703032    0.001557049
    8.048048048    0.000756884    0.000727497    0.001676767
    8.063063063    0.000803850    0.000762185    0.001817086
    8.078078078    0.000864947    0.000809182    0.001983428
    8.093093093    0.000943953    0.000871533    0.002183118
    8.108108108    0.001046291    0.000953646    0.002426225
    8.123123123    0.001179818    0.001061955    0.002726846
    8.138138138    0.001356108    0.001205957    0.003105106
    8.153153153    0.001592476    0.001399885    0.003590317
    8.168168168    0.001915210    0.001665353    0.004226034
    8.183183183    0.002364371    0.002035293    0.005078097
    8.198198198    0.002999646    0.002558731    0.006246920
    8.213213213    0.003901639    0.003301731    0.007883796
    8.228228228    0.005144363    0.004324481    0.010201480
    8.243243243    0.006671528    0.005579266    0.013431208
    8.258258258    0.008034333    0.006697358    0.017572278
    8.273273273    0.008417876    0.007020337    0.021720962
